timestamp,icao24,latitude,longitude,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,altitude,geoaltitude,lastposupdate,lastcontact,hour
1656766134,39ac45,43.58148,1.26775,114,311.1,128,SAMUCF,False,False,False,NaN,1875.0,1875,,,
1656766135,39ac45,43.5811,1.26833,115,310.8,-192,SAMUCF,False,False,False,NaN,1850.0,1850,,,
1656766136,39ac45,43.58074,1.26888,116,311.1,-192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766137,39ac45,43.58036,1.26951,116,311.1,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766138,39ac45,43.58003,1.27003,116,311.5,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766139,39ac45,43.57968,1.27048,116,311.5,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766140,39ac45,43.57931,1.27112,116,311.5,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766141,39ac45,43.57896,1.27166,117,311.2,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766142,39ac45,43.57859,1.27225,116,310.8,-192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766143,39ac45,43.57817,1.2729,116,310.8,-192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766144,39ac45,43.57784,1.27349,117,310.5,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766145,39ac45,43.57748,1.27398,117,310.5,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766146,39ac45,43.57721,1.27449,117,310.5,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766147,39ac45,43.57679,1.27507,116,310.8,64,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766148,39ac45,43.57649,1.27558,117,311.2,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766149,39ac45,43.57633,1.2759,116,310.8,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766150,39ac45,43.57597,1.27641,117,311.2,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766151,39ac45,43.57546,1.27721,117,311.2,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766152,39ac45,43.57528,1.27749,117,311.2,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766153,39ac45,43.57473,1.27832,117,311.2,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766154,39ac45,43.57436,1.27896,117,311.2,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766155,39ac45,43.57402,1.27943,117,311.2,192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766156,39ac45,43.5736,1.28015,118,310.9,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766157,39ac45,43.57326,1.28061,118,310.9,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766158,39ac45,43.5729,1.28125,118,310.9,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766159,39ac45,43.57276,1.28144,118,310.9,192,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766160,39ac45,43.5722,1.2823,118,310.9,192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766161,39ac45,43.57183,1.28295,118,310.5,-384,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766162,39ac45,43.57166,1.28323,118,310.9,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766163,39ac45,43.57129,1.2838,118,310.9,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766164,39ac45,43.57083,1.2845,118,310.9,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766165,39ac45,43.57047,1.28507,117,310.5,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766166,39ac45,43.5701,1.28569,117,310.5,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766167,39ac45,43.56973,1.28622,116,310.8,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766168,39ac45,43.56931,1.28686,116,310.8,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766169,39ac45,43.56904,1.28737,116,310.8,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766170,39ac45,43.5687,1.28791,116,310.8,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766171,39ac45,43.56833,1.28849,116,311.1,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766172,39ac45,43.56794,1.28902,115,310.8,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766173,39ac45,43.56767,1.28953,115,310.8,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766174,39ac45,43.5673,1.29006,114,311.1,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766175,39ac45,43.56688,1.29071,114,311.1,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766176,39ac45,43.56652,1.29132,114,311.1,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766177,39ac45,43.5662,1.29183,113,310.7,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766178,39ac45,43.56586,1.29234,113,310.7,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766179,39ac45,43.5657,1.29265,113,310.7,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766180,39ac45,43.5657,1.29265,113,310.7,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766181,39ac45,43.56478,1.29404,113,310.7,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766182,39ac45,43.5645,1.29456,113,310.7,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766183,39ac45,43.56418,1.29502,113,311,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766184,39ac45,43.56382,1.29558,113,311,64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766185,39ac45,43.56348,1.29612,113,311.4,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766186,39ac45,43.56308,1.29673,113,311.4,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766187,39ac45,43.56278,1.29717,113,311.4,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766188,39ac45,43.56244,1.29768,113,311,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766189,39ac45,43.56226,1.298,113,311,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766190,39ac45,43.56171,1.29886,113,310.7,128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766191,39ac45,43.56139,1.2994,113,311,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766192,39ac45,43.56102,1.29998,113,311,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766193,39ac45,43.56059,1.30062,113,310.7,128,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766194,39ac45,43.56047,1.30087,114,311.1,192,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766195,39ac45,43.56006,1.30144,114,311.1,0,SAMUCF,False,False,False,7014,1875.0,1875,,,
1656766196,39ac45,43.55975,1.30193,114,311.1,-192,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766197,39ac45,43.55919,1.30277,114,311.1,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766198,39ac45,43.55886,1.30329,116,311.1,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766199,39ac45,43.55858,1.30382,116,311.1,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766200,39ac45,43.55825,1.30434,116,311.1,-128,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766201,39ac45,43.55825,1.30434,115,310.8,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766202,39ac45,43.55758,1.30539,115,310.8,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766203,39ac45,43.55758,1.30539,115,310.8,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766204,39ac45,43.55685,1.30655,115,310.8,0,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766205,39ac45,43.55648,1.30714,116,310.4,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
1656766206,39ac45,43.5562,1.30755,116,310.4,-64,SAMUCF,False,False,False,7014,1850.0,1850,,,
